location_id,street_address,city,state,postal_code,restaurant
HD-193,515 E Canal St,Mulberry,FL,33860,HD
HD-194,24915 W Newberry Rd,Newberry,FL,32669,HD
HD-195,6155 SR 200,Ocala,FL,34476,HD
HD-196,908 Nw Pine Ave,Ocala,FL,34475,HD
HD-197,25807 SE US HWY. 19,Old Town,FL,32680,HD
HD-198,5212 Silver Star Rd,Orlando,FL,32808,HD
HD-199,4200 Hwy 90,Pace,FL,32571,HD
HD-200,3439 Highway 77,Panama City,FL,32405,HD
HD-201,11769 Panama City Beach Pkwy,Panama City Beach,FL,32407,HD
HD-202,8001 Pensacola Blvd,Pensacola,FL,32534,HD
HD-203,2500 Wilde Lake Blvd,Pensacola,FL,32526,HD
HD-204,805 N Navy Blvd,Pensacola,FL,32507,HD
HD-205,12275 Lillian Hwy,Pensacola,FL,32506,HD
HD-206,7137 N 9Th Ave,Pensacola,FL,32504,HD
HD-207,2046 S Byron Butler Pkwy,Perry,FL,32348,HD
HD-208,1713 James Redman Pkwy,Plant City,FL,33563,HD
HD-209,8407 Us Highway 19,Port Richey,FL,34668,HD
HD-210,100 W Jefferson St,Quincy,FL,32351,HD
HD-211,402 S Tamiami Trail,Ruskin,FL,33570,HD
HD-212,3795 34th St N,Saint Petersburg,FL,33713,HD
HD-213,5690 W State Road 46,Sanford,FL,32771,HD
HD-214,3000 Us Highway 98 W,Santa Rosa,FL,32459,HD
HD-215,11705 E Us Highway 92,Seffner,FL,33584,HD
HD-216,435 S Temple Ave,Starke,FL,32091,HD
HD-217,5818 N Monroe St,Tallahassee,FL,32303,HD
HD-218,1829 Capital Circle Ne,Tallahassee,FL,32308,HD
HD-219,301 E Burleigh Blvd,Tavares,FL,32778,HD
HD-220,6292 Commercial Way,Weeki Wachee,FL,34613,HD
HD-221,404 S Main St,Wildwood,FL,34785,HD
HD-222,549 State Highway 44,Wildwood,FL,34785,HD
HD-223,306 W Noble Ave,Williston,FL,32696,HD
HD-224,15821 Hwy 231 N,Youngstown,FL,32466,HD
HD-225,36502 State Rd 54,Zephyrhills,FL,33541,HD
HD-226,1097 Highway 92,Acworth,GA,30102,HD
HD-227,101 Princeton Blvd,Adairsville,GA,30103,HD
HD-228,807 W 4Th St,Adel,GA,31620,HD
HD-229,2324 E Oglethorpe Blvd,Albany,GA,31705,HD
HD-230,436 N Slappey Blvd,Albany,GA,31701,HD
HD-231,922 S PIERCE ST,Alma,GA,31510,HD
HD-232,220 Tripp St,Americus,GA,31709,HD
HD-233,2516 Bouldercrest Rd Se,Atlanta,GA,30316,HD
HD-234,3309 Peach Orchard Rd,Augusta,GA,30906,HD
HD-235,1000 E Shotwell St,Bainbridge,GA,39819,HD
HD-236,653 South Main St,Baxley,GA,31513,HD
HD-237,99 Sandy Run Rd.,Bonaire,GA,31005,HD
HD-238,515 Alabama Ave S,Bremen,GA,30110,HD
HD-239,4428 New Jesup Hwy,Brunswick,GA,31520,HD
HD-240,1520 Buford Hwy,Buford,GA,30518,HD
